pinName, pin
CF_ADDR_BIT_0, 144
CF_ADDR_BIT_1, 143
CF_ADDR_BIT_2, 142
CF_ADDR_BIT_3, 141
CF_ADDR_BIT_4, 140
ENCODER_ADDR_BIT_0, 132
ENCODER_ADDR_BIT_1, 131
ENCODER_ADDR_BIT_2, 130
DBUF_OUT_0, 14
DBUF_OUT_1, 127
DBUF_OUT_2, 37
DBUF_OUT_3, 36
DBUF_OUT_4, 35
DBUF_OUT_5, 34
DBUF_OUT_6, 33
DBUF_OUT_7, 32
DBUF_OUT_8, 31
DBUF_OUT_9, 30
DBUF_OUT_10, 123
DBUF_OUT_11, 28
DBUF_OUT_12, 124
DBUF_OUT_13, 29
DBUF_OUT_14, 125
DBUF_OUT_15, 126
TEST_DN, 119
TEST_UP, 118
TEST_OK_TO_UPDATE, 116
BG_MISO, 136
AER_OUTPUT_ENCODER_REQ, 129
AER_OUTPUT_C2F_REQ, 139
AER_OUTPUT_II_ACK, 133