biasName,value_uA,transistorType,biasNo
AF_VFB_VI,0.001,0,62
AF_F1G_VI,0.0001,1,61
AF_F1Q_VI,0.000005,1,60
AF_F1F_VI,0.00002,1,59
AF_PRC_VI,0,1,58
AF_VBS_VI,0.00002,0,57
AF_THDABG_VI,0.000005,0,56
AF_THUABG,0.5,1,55
AF_F2G_VI,0.001,1,54
AF_F2F_VI,0.00025,1,53
AF_F2Q_VI,0.0005,1,52
AF_VIS_VI,0.001,0,51
AF_THDSBG_VI,0.002,0,50
AF_THUSBG_VI,0.004,1,49
AF_VCS_VI,0.008,1,48
AF_VCSC_VI,0.016,1,47
AF_THURBG_VI,0.032,1,46
AF_THDRBG_VI,0.064,0,45
AF_F3G_VI,0.128,1,44
AF_F3F_VI,0.256,1,43
AF_F3Q_VI,0.00025,1,42
AF_THDFBG_VI,0.00025,1,41
AF_THUFBG_VI,0.00025,0,40
AF_VRFR_VI,0.00025,0,39
AF_ADB_VI,0.00025,0,38